stream,,2017-06-28,2017-06-29,2017-06-30,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21
RS03ASHS-MJ03B-00-OSMOIA301-osmoi_a_subcon_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS-MJ03B-07-TMPSFA301-tmpsf_sample,,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,
RS03AXBS-LJ03A-05-HPIESA301-echo_sounding,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-05-HPIESA301-horizontal_electric_field,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-05-HPIESA301-hpies_data_header,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXBS-LJ03A-10-ADCPTE303-adcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-10-ADCPTE303-adcp_velocity_earth,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-11-OPTAAC303-optaa_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-LJ03A-12-CTDPFB301-ctdpf_optode_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXBS-LJ03A-12-DOSTAD301-ctdpf_optode_sample,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-MJ03A-06-PRESTA301-prest_real_time,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,
RS03AXBS-MJ03A-12-VEL3DB301-vel3d_b_sample,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RS03AXPD-DP03A-01-CTDPFL304-dpc_ctd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-02-VEL3DA303-dpc_acm_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-03-FLCDRA302-dpc_flcdrtd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-03-FLNTUA302-dpc_flnturtd_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-05-OPTAAC302-dpc_acs_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-06-DOSTAD304-dpc_optode_instrument_recovered,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-05-ADCPTD302-adcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-05-ADCPTD302-adcp_velocity_earth,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-06-VADCPA301-adcp_velocity_earth,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-06-VADCPA301-vadcp_velocity_beam,False,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-06-VADCPA301-vadcp_velocity_beam_5,False,,,,,,,,,,,,,,,,,,,,,,,,
