refdes,method,stream,date,value
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-17,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-20,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-24,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-25,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-21,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-04,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-28,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-05,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-22,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-26,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-31,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-30,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-27,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-08,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-13,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-01,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-12,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-03,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-06,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-02,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-07,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-11,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-10,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-09,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-15,0
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-16,0
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-14,0
