node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE07SHSM-MFD35,,,,,,,,,,,,,,,,,,,,,,,,,,,48%,55%,55%,21%,23%,21%,,,,,,42%,57%,12%
CE07SHSM-MFD37,,,,,,,,,,,,,,,,,,,,,,,,,,,82%,96%,95%,37%,,,,,,,,60%,81%,24%
CE07SHSM-RID26,,,,,,,,,,,,,,47%,77%,86%,74%,57%,43%,48%,77%,50%,77%,77%,77%,77%,70%,53%,37%,37%,51%,77%,80%,66%,,,,49%,65%,57%
CE07SHSM-RID27,,,,,,,,,,,,,,48%,88%,90%,90%,88%,67%,56%,88%,90%,88%,90%,81%,68%,83%,90%,88%,90%,87%,88%,97%,76%,,,,56%,89%,68%
CE07SHSM-SBD11,,,,,,,,,,,,,,27%,50%,50%,50%,50%,38%,31%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,40%,,,,32%,50%,50%
CE07SHSM-SBD12,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,77%,,,,62%,94%,83%
CE07SHSP-SP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSPM-WFP01,,,,,,,,,,92%,92%,91%,90%,90%,90%,92%,92%,90%,92%,90%,90%,17%,,,,,59%,92%,90%,92%,91%,41%,,,,,,57%,77%,79%
CE09OSSM-MFD35,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,13%,41%,31%,21%,12%,,,26%,39%,40%
CE09OSSM-MFD37,,,,,,,,,,,,,,4%,,,,,,,,,,,,,,,,,10%,28%,29%,29%,16%,,,60%,96%,96%
CE09OSSM-RID26,,,,,,,,,,,,,,71%,78%,,,,,48%,9%,,,,,,50%,77%,77%,77%,61%,57%,57%,59%,56%,60%,37%,49%,77%,77%
CE09OSSM-RID27,,,,,,,,,,,,,,66%,71%,,,,,50%,10%,,,,,,57%,90%,88%,90%,88%,88%,90%,94%,90%,96%,59%,49%,69%,68%
CE09OSSM-SBD11,,,,,,,,,,,,,,37%,50%,50%,50%,50%,42%,27%,50%,50%,50%,50%,50%,50%,44%,50%,50%,50%,50%,50%,50%,50%,48%,50%,31%,32%,50%,50%
CE09OSSM-SBD12,,,,,,,,,,,,,,72%,100%,100%,100%,100%,83%,55%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,63%,97%,97%
