refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE05MOAS-GL327-04-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,,,93%,100%,65%,,55%,100%,39%,,,,,,,,,,,,,,,,,,
CE05MOAS-GL327-05-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,,,93%,100%,65%,,55%,100%,39%,,,,,,,,,,,,,,,,,,
CE05MOAS-GL381-01-PARADM000,,,,,,,,,,,,,,,,77%,100%,94%,,,,,,,,,,,,,,,,,84%,67%,,,,,,,,57%,97%,,,
CE05MOAS-GL381-02-FLORTM000,,,,,,,,,,,,,,,,77%,100%,94%,,,,,,,,,,,,,,,,,84%,67%,,,,,,,,57%,97%,,,
CE05MOAS-GL381-03-ADCPAM000,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL381-04-DOSTAM000,,,,,,,,,,,,,,,,77%,100%,94%,,,,,,,,,,,,,,,,,84%,67%,,,,,,,,57%,97%,,,
CE05MOAS-GL381-05-CTDGVM000,,,,,,,,,,,,,,,,77%,100%,94%,,,,,,,,,,,,,,,,,84%,67%,,,,,,,,57%,97%,,,
CE05MOAS-GL382-01-PARADM000,,,,,,,,,,,,,,,,,,,35%,100%,100%,93%,,,,,,,,,,,,,,,,,10%,100%,100%,100%,16%,,,67%,94%,87%
CE05MOAS-GL382-02-FLORTM000,,,,,,,,,,,,,,,,,,,35%,100%,100%,93%,,,,,,,,,,,,,,,,,10%,100%,100%,100%,16%,,,70%,100%,93%
CE05MOAS-GL382-03-ADCPAM000,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL382-04-DOSTAM000,,,,,,,,,,,,,,,,,,,35%,100%,100%,93%,,,,,,,,,,,,,,,,,10%,100%,100%,100%,16%,,,67%,94%,83%
CE05MOAS-GL382-05-CTDGVM000,,,,,,,,,,,,,,,,,,,35%,100%,100%,93%,,,,,,,,,,,,,,,,,10%,100%,100%,100%,16%,,,67%,94%,83%
CE05MOAS-GL383-01-PARADM000,,,,,,,,,,,,,,,,,,,35%,100%,32%,,,,,61%,100%,100%,80%,,,,,,,,,,,,,,3%,100%,100%,93%,29%,
CE05MOAS-GL383-02-FLORTM000,,,,,,,,,,,,,,,,,,,35%,100%,32%,,,,,61%,100%,100%,80%,,,,,,,,,,,,,,3%,100%,100%,100%,32%,
CE05MOAS-GL383-03-ADCPAM000,,,,,,,,,,,,,,,,,,,35%,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL383-04-DOSTAM000,,,,,,,,,,,,,,,,,,,35%,100%,32%,,,,,61%,100%,100%,80%,,,,,,,,,,,,,,3%,100%,100%,93%,29%,
CE05MOAS-GL383-05-CTDGVM000,,,,,,,,,,,,,,,,,,,35%,100%,35%,,,,,61%,100%,100%,80%,,,,,,,,,,,,,,3%,100%,100%,93%,29%,
CE05MOAS-GL384-01-PARADM000,,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,23%,35%,100%,100%,27%,,,,,,77%,100%,58%,,,,,,,,,,,
CE05MOAS-GL384-02-FLORTM000,,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,23%,35%,100%,100%,27%,,,,,,77%,100%,58%,,,,,,,,,,,
CE05MOAS-GL384-03-ADCPAM000,,,,,,,,,,,,,,,,,,,,,,67%,19%,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL384-04-DOSTAM000,,,,,,,,,,,,,,,,,,,,,,47%,100%,100%,23%,35%,100%,100%,27%,,,,,,77%,100%,58%,,,,,,,,,,,
CE05MOAS-GL384-05-CTDGVM000,,,,,,,,,,,,,,,,,,,,,,63%,100%,100%,23%,35%,100%,100%,30%,,,,,,77%,100%,58%,,,,,,,,,,,
CE05MOAS-GL386-01-PARADM000,,,,,,,,,,37%,100%,100%,16%,,,,,,,,,90%,100%,90%,,,,55%,63%,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL386-02-FLORTM000,,,,,,,,,,37%,100%,100%,16%,,,,,,,,,90%,100%,90%,,,,55%,63%,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL386-03-ADCPAM000,,,,,,,,,,37%,100%,10%,,,,,,,,,,90%,65%,,,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL386-04-DOSTAM000,,,,,,,,,,37%,100%,100%,16%,,,,,,,,,90%,100%,90%,,,,55%,63%,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL386-05-CTDGVM000,,,,,,,,,,37%,100%,100%,16%,,,,,,,,,90%,100%,100%,26%,,,55%,63%,,,,,,,,,,,,,,,,,,,
CE06ISSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSM-MFD35-02-PRESFA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSM-MFD35-04-ADCPTM000,,,,,,,,,,,,,,,,74%,73%,,,,,70%,100%,100%,100%,100%,100%,29%,,,,,,,45%,,,,13%,61%,3%,6%,10%,4%,3%,60%,35%,
CE06ISSM-MFD35-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,,20%,29%,27%,29%,19%,3%,10%,,,,,,,29%,,,,3%,19%,3%,,3%,,,13%,,
CE06ISSM-MFD35-06-PHSEND000,,,,,,,,,,,,,,,,77%,73%,,,,,70%,100%,100%,100%,100%,100%,29%,,,,,,,3%,,,,13%,65%,3%,6%,10%,4%,3%,60%,35%,
CE06ISSM-MFD37-01-OPTAAD000,,,,,,,,,,,,,,,,77%,73%,,,,,,3%,,,,,,,,,,,,29%,,,,,,,,,,,50%,87%,87%
CE06ISSM-MFD37-03-CTDBPC000,,,,,,,,,,,,,,,,74%,73%,,,,,70%,100%,100%,90%,52%,3%,,,,,,,,45%,,,,,,,,,,,60%,100%,100%
CE06ISSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,74%,73%,,,,,70%,100%,100%,90%,52%,3%,,,,,,,,45%,,,,,,,,,,,60%,100%,100%
CE06ISSM-RID16-01-OPTAAD000,,,,,,,,,,,,,,,,71%,83%,87%,87%,86%,90%,87%,48%,,,,,,,,,,,,84%,100%,55%,,13%,84%,87%,81%,45%,,,50%,87%,87%
CE06ISSM-RID16-02-FLORTD000,,,,,,,,,,,,,,,,45%,20%,32%,26%,,32%,97%,94%,100%,100%,100%,100%,100%,97%,100%,100%,72%,,,84%,100%,71%,,13%,100%,93%,90%,68%,,,53%,87%,87%
CE06ISSM-RID16-03-CTDBPC000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,76%,,,84%,100%,48%,,,,,,,,,60%,100%,100%
CE06ISSM-RID16-03-DOSTAD000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,76%,,,84%,100%,48%,,,,,,,,,60%,100%,100%
CE06ISSM-RID16-04-VELPTA000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,90%,73%,90%,100%,100%,100%,100%,100%,77%,,,,,,84%,100%,87%,,13%,100%,100%,90%,68%,,,60%,100%,100%
CE06ISSM-RID16-05-PCO2WB000,,,,,,,,,,,,,,,,,3%,,,,13%,10%,,13%,3%,3%,,3%,,,,,,,39%,,,,3%,19%,3%,3%,3%,,,17%,,
CE06ISSM-RID16-06-PHSEND000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,73%,84%,100%,100%,100%,100%,100%,77%,,,,,,84%,100%,87%,,13%,65%,3%,10%,6%,,,60%,100%,100%
CE06ISSM-RID16-07-NUTNRB000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,60%,58%,100%,100%,100%,76%,,,,,,,,,,,,,,,,
CE06ISSM-RID16-08-SPKIRB000,,,,,,,,,,,,,,,,29%,40%,29%,32%,29%,65%,73%,94%,100%,100%,100%,100%,100%,100%,100%,100%,76%,,,84%,100%,71%,,13%,100%,100%,90%,68%,,,53%,87%,87%
CE06ISSM-SBD17-04-VELPTA000,,,,,,,,,,,,,,,,77%,100%,100%,100%,100%,13%,70%,90%,100%,100%,100%,100%,84%,,,,,,,84%,100%,87%,,13%,100%,100%,90%,42%,,,47%,100%,100%
CE06ISSM-SBD17-06-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSM-SBD17-06-FLORTD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSP-SP001-02-DOSTAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,16%,55%,,,,,,,,,,
CE06ISSP-SP001-04-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSP-SP001-05-VELPTJ000,,,,,,,,,,,,,,,,,,,,,,,3%,,16%,10%,,,,,,,,,16%,,16%,55%,,,,,,,,,,
CE06ISSP-SP001-06-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSP-SP001-07-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,6%,,16%,10%,,,,,,,,,19%,,16%,55%,,,,,,,,,,
CE06ISSP-SP001-08-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,16%,10%,,,,,,,,,16%,,16%,55%,,,,,,,,,,
CE06ISSP-SP001-09-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,10%,,16%,10%,,,,,,,,,19%,,16%,55%,,,,,,,,,,
CE06ISSP-SP001-10-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,3%,,16%,10%,,,,,,,,,16%,,16%,55%,,,,,,,,,,
CE07SHSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,13%,,,,,,67%,71%,27%
CE07SHSM-MFD35-02-PRESFB000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSM-MFD35-04-ADCPTC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,39%,37%,42%,,,,,,63%,94%,
CE07SHSM-MFD35-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65%,73%,74%,29%,10%,10%,,,,,,17%,26%,7%
CE07SHSM-MFD35-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,39%,37%,42%,,,,,,63%,94%,27%
CE07SHSM-MFD37-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71%,87%,84%,32%,,,,,,,,53%,55%,20%
CE07SHSM-MFD37-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,39%,,,,,,,,63%,94%,27%
CE07SHSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87%,100%,100%,39%,,,,,,,,63%,94%,27%
CE07SHSM-RID26-01-ADCPTA000,,,,,,,,,,,,,,,,,,,,,,53%,100%,67%,,,,,,,,,,,87%,77%,,,37%,100%,100%,84%,,,,63%,35%,
CE07SHSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,30%,,77%,84%,,,61%,100%,32%,100%,100%,100%,100%,42%,,,,37%,100%,100%,84%,,,,63%,100%,100%
CE07SHSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,84%,,,,63%,100%,100%
CE07SHSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,32%,100%,100%,100%,100%,42%,,,,,,,,,,,,,
CE07SHSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,47%,84%,87%,87%,84%,63%,55%,83%,87%,84%,86%,87%,87%,77%,87%,84%,87%,83%,84%,100%,77%,,,,53%,87%,87%
CE07SHSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,47%,84%,87%,87%,84%,63%,55%,83%,87%,84%,86%,87%,87%,84%,87%,84%,87%,80%,84%,87%,65%,,,,53%,81%,
CE07SHSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,47%,84%,87%,87%,84%,63%,55%,83%,87%,84%,86%,52%,,68%,87%,84%,87%,83%,84%,100%,77%,,,,53%,87%,87%
CE07SHSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,84%,,,,63%,100%,100%
CE07SHSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,47%,84%,87%,87%,84%,63%,55%,83%,87%,84%,86%,87%,87%,81%,87%,84%,87%,83%,84%,100%,77%,,,,53%,87%,87%
CE07SHSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,81%,,,,63%,100%,100%
CE07SHSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,77%,,,,60%,87%,67%
CE07SHSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,53%,100%,100%,100%,100%,77%,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,77%,,,,63%,100%,100%
CE07SHSP-SP001-01-DOSTAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-02-VELPTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-04-OPTAAJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-05-NUTNRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-06-SPKIRJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-07-FLORTJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-08-CTDPFJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE07SHSP-SP001-09-PARADJ000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSPM-WFP01-01-VEL3DK000,,,,,,,,,,27%,,,,,,68%,83%,87%,87%,86%,84%,87%,84%,87%,87%,84%,87%,77%,83%,16%,,,,,55%,87%,84%,87%,87%,35%,,,,,,53%,19%,27%
CE09OSPM-WFP01-02-DOFSTK000,,,,,,,,,,27%,,,,,,68%,83%,87%,87%,86%,84%,83%,84%,87%,87%,84%,87%,87%,83%,16%,,,,,55%,87%,84%,87%,83%,39%,,,,,,53%,87%,87%
CE09OSPM-WFP01-03-CTDPFK000,,,,,,,,,,27%,,,,,,68%,83%,87%,87%,86%,84%,87%,84%,87%,87%,84%,87%,87%,83%,16%,,,,,55%,87%,84%,87%,87%,42%,,,,,,53%,87%,87%
CE09OSPM-WFP01-04-FLORTK000,,,,,,,,,,37%,,,,,,77%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,19%,,,,,65%,100%,100%,100%,100%,45%,,,,,,63%,100%,100%
CE09OSPM-WFP01-05-PARADK000,,,,,,,,,,37%,,,,,,77%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,19%,,,,,65%,100%,100%,100%,100%,45%,,,,,,60%,94%,93%
CE09OSSM-MFD35-01-VEL3DD000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,81%,23%,,,,,,,
CE09OSSM-MFD35-02-PRESFC000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSSM-MFD35-04-ADCPSJ000,,,,,,,,,,,,,,,,,,,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,63%,100%,100%
CE09OSSM-MFD35-05-PCO2WB000,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,7%,23%,30%,3%,,,,3%,,
CE09OSSM-MFD35-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,33%,100%,100%,100%,61%,,,63%,97%,100%
CE09OSSM-MFD37-01-OPTAAC000,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,30%,84%,87%,87%,48%,,,53%,87%,87%
CE09OSSM-MFD37-03-CTDBPE000,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,63%,100%,100%
CE09OSSM-MFD37-03-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,63%,100%,100%
CE09OSSM-RID26-01-ADCPTC000,,,,,,,,,,,,,,,,,,,,,,73%,81%,,,,,55%,10%,,,,,,65%,100%,100%,100%,50%,100%,100%,100%,94%,100%,61%,63%,100%,100%
CE09OSSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,73%,81%,,,,,55%,10%,,,,,,65%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,63%,100%,100%
CE09OSSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,73%,81%,,,,,26%,7%,,,,,,65%,100%,100%,100%,73%,,,,,,,63%,100%,100%
CE09OSSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,73%,81%,,,,,55%,10%,,,,,,,,,,,,,,,,,,,
CE09OSSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,63%,68%,,,,,48%,10%,,,,,,55%,87%,84%,87%,83%,84%,87%,94%,94%,100%,61%,53%,87%,87%
CE09OSSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,63%,68%,,,,,48%,10%,,,,,,55%,87%,84%,87%,87%,84%,87%,87%,77%,86%,52%,27%,,
CE09OSSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,63%,68%,,,,,48%,10%,,,,,,55%,87%,84%,87%,83%,84%,87%,94%,94%,100%,61%,53%,87%,87%
CE09OSSM-RID27-03-CTDBPC000,,,,,,,,,,,,,,,,,,,,,,73%,81%,,,,,55%,10%,,,,,,65%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,63%,100%,100%
CE09OSSM-RID27-04-DOSTAD000,,,,,,,,,,,,,,,,,,,,,,63%,68%,,,,,48%,10%,,,,,,55%,87%,84%,87%,83%,84%,87%,94%,94%,100%,61%,53%,87%,87%
CE09OSSM-SBD11-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,73%,100%,100%,100%,100%,83%,55%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,100%,100%,97%,100%,61%,63%,100%,100%
CE09OSSM-SBD11-06-METBKA000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE09OSSM-SBD12-04-PCO2AA000,,,,,,,,,,,,,,,,,,,,,,70%,100%,100%,100%,100%,83%,55%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,63%,94%,93%
CE09OSSM-SBD12-05-WAVSSA000,,,,,,,,,,,,,,,,,,,,,,73%,100%,100%,100%,100%,83%,55%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,63%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
