refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CE02SHBP-LJ01D-07-VEL3DC108,,,,,,,,,,,,,,,20%,100%,93%,74%,100%,93%,97%,93%,100%,100%,77%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE02SHBP-LJ01D-08-OPTAAD106,,,,,,,,,,,,,,,20%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,48%,,,,,,23%,100%,100%,74%,,,,,,,,
CE02SHBP-LJ01D-09-PCO2WB103,,,,,,,,,,,,,,,20%,100%,100%,55%,74%,93%,97%,93%,100%,100%,55%,97%,100%,100%,100%,100%,100%,66%,,,,,23%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE02SHBP-LJ01D-10-PHSEND103,,,,,,,,,,,,,,,20%,100%,100%,74%,100%,96%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,73%,100%,100%,65%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
CE02SHSM-RID26-01-ADCPTA000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,61%,,,
CE02SHSM-RID26-04-VELPTA000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,100%,61%,,,
CE02SHSM-RID26-06-PHSEND000,,,,,,,,,,,,,,,,,,,,,,97%,100%,100%,100%,100%,73%,81%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,19%,,,,,,,,
CE02SHSM-RID26-07-NUTNRB000,,,,,,,,,,,,,,,,,,,,,,83%,100%,100%,100%,100%,30%,81%,100%,100%,100%,100%,100%,100%,52%,,,,,,,,,,,,,
CE02SHSM-RID26-08-SPKIRB000,,,,,,,,,,,,,,,,,,,,,,83%,84%,87%,87%,84%,60%,71%,83%,87%,84%,86%,87%,87%,84%,87%,84%,87%,87%,87%,100%,100%,94%,100%,61%,,,
CE02SHSM-RID27-01-OPTAAD000,,,,,,,,,,,,,,,,,,,,,,83%,84%,87%,87%,84%,63%,71%,83%,87%,84%,86%,87%,87%,84%,87%,42%,,17%,84%,87%,87%,77%,86%,52%,,,
CE02SHSM-RID27-02-FLORTD000,,,,,,,,,,,,,,,,,,,,,,83%,84%,87%,87%,84%,60%,71%,83%,87%,84%,86%,87%,87%,84%,87%,84%,87%,87%,87%,100%,100%,94%,100%,61%,,,
