refdes,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS01SLBS-LJ01A-12-DOSTAD101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SLBS-MJ01A-06-PRESTA101,,,,,,,,,,,,,,,63%,100%,93%,90%,100%,96%,94%,100%,100%,100%,100%,100%,100%,94%,97%,94%,94%,93%,94%,93%,90%,93%,90%,94%,93%,90%,93%,94%,94%,93%,94%,90%,94%,93%
RS01SLBS-MJ01A-12-VEL3DB101,,,,,,,,,,,,,,,63%,100%,93%,90%,100%,96%,97%,93%,100%,100%,94%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%
RS01SUM1-LJ01B-09-PRESTB102,,,,,,,,,,,,,,,43%,100%,93%,90%,100%,93%,97%,100%,100%,100%,100%,100%,100%,100%,93%,94%,94%,93%,94%,93%,90%,93%,87%,94%,93%,90%,93%,94%,94%,93%,94%,90%,94%,93%
RS01SUM1-LJ01B-12-VEL3DB104,,,,,,,,,,,,,,,43%,100%,93%,90%,100%,96%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,100%,100%,94%,100%,97%,100%,100%,100%
RS01SUM2-MJ01B-00-FLOBNC101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SUM2-MJ01B-00-FLOBNM101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SUM2-MJ01B-00-OSMOIA101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SUM2-MJ01B-06-MASSPA101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SUM2-MJ01B-12-ADCPSK101,,,,,,,,,,,,,,,43%,100%,93%,90%,100%,89%,94%,100%,100%,77%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,29%,,61%,100%,100%,100%
RS03ASHS-MJ03B-00-OSMOIA301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03ASHS-MJ03B-07-TMPSFA301,,,,,,,,,,,,,,,7%,87%,77%,74%,97%,82%,94%,100%,100%,93%,58%,84%,87%,87%,83%,87%,84%,86%,87%,87%,84%,87%,84%,87%,87%,84%,87%,87%,81%,86%,87%,83%,87%,87%
RS03AXBS-LJ03A-05-HPIESA301,,,,,,,,,,,,,,32%,100%,100%,100%,90%,100%,96%,97%,100%,100%,40%,16%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,87%,45%,100%,100%,100%,100%,100%,77%,100%,100%,100%,100%,100%
RS03AXBS-LJ03A-10-ADCPTE303,,,,,,,,,,,,,,,,,,,,,,,,10%,58%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXBS-LJ03A-11-OPTAAC303,,,,,,,,,,,,,,13%,100%,100%,100%,100%,100%,100%,100%,100%,100%,40%,61%,100%,100%,100%,100%,100%,100%,100%,100%,30%,,,65%,100%,100%,100%,100%,100%,29%,,,,,
RS03AXBS-LJ03A-12-CTDPFB301,,,,,,,,,,,,,,32%,100%,100%,93%,90%,100%,96%,94%,97%,100%,40%,58%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,93%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXBS-LJ03A-12-DOSTAD301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXBS-MJ03A-06-PRESTA301,,,,,,,,,,,,,,35%,100%,100%,93%,90%,100%,93%,97%,100%,100%,100%,100%,100%,93%,97%,93%,94%,94%,93%,94%,93%,90%,93%,90%,94%,93%,90%,93%,94%,94%,93%,94%,90%,94%,93%
RS03AXBS-MJ03A-12-VEL3DB301,,,,,,,,,,,,,,35%,100%,100%,93%,90%,100%,96%,97%,100%,6%,,,,,,,,,,,,,,61%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03AXPD-DP03A-01-CTDPFL304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-02-VEL3DA303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-03-FLCDRA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPD-DP03A-03-FLNTUA302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
