refdes,method,stream,parameter
RS03AXPD-DP03A-03-FLNTUA302,recovered_wfp,dpc_flnturtd_instrument_recovered,flntu_x_mmp_cds_bback_total
RS03AXPD-DP03A-05-OPTAAC302,recovered_inst,dpc_acs_instrument_recovered,beam_attenuation
RS03AXPD-DP03A-05-OPTAAC302,recovered_inst,dpc_acs_instrument_recovered,optical_absorption
RS03AXPD-DP03A-05-OPTAAC302,recovered_wfp,dpc_acs_instrument_recovered,beam_attenuation
RS03AXPD-DP03A-05-OPTAAC302,recovered_wfp,dpc_acs_instrument_recovered,optical_absorption
RS03AXPD-DP03A-06-DOSTAD304,recovered_inst,dpc_optode_instrument_recovered,dissolved_oxygen
RS03AXPD-DP03A-06-DOSTAD304,recovered_inst,dpc_optode_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen
RS03AXPD-DP03A-06-DOSTAD304,recovered_wfp,dpc_optode_instrument_recovered,dissolved_oxygen
RS03AXPD-DP03A-06-DOSTAD304,recovered_wfp,dpc_optode_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,corrected_echo_intensity_beam1
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,corrected_echo_intensity_beam2
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,corrected_echo_intensity_beam3
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,corrected_echo_intensity_beam4
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,eastward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,northward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,upward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_beam,error_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,northward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,upward_seawater_velocity
RS03AXPS-PC03A-05-ADCPTD302,streamed,adcp_velocity_earth,error_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,corrected_echo_intensity_beam1
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,corrected_echo_intensity_beam2
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,corrected_echo_intensity_beam3
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,corrected_echo_intensity_beam4
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,eastward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,northward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,upward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,adcp_velocity_earth,error_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam1
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam2
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam3
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam4
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,eastward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,northward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,estimated_upward_seawater_velocity
RS03AXPS-PC03A-06-VADCPA301,streamed,vadcp_velocity_beam,upward_seawater_velocity
RS03AXPS-PC03A-07-CAMDSC302,streamed,camds_video,NULL
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,density
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,practical_salinity
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXPS-PC03A-4A-CTDPFA303,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,density
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,practical_salinity
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,dissolved_oxygen
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,seawater_temperature
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,seawater_pressure
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,seawater_conductivity
RS03AXPS-PC03A-4A-DOSTAD303,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS03AXPS-PC03A-4B-PHSENA302,streamed,phsen_data_record,phsen_thermistor_temperature
RS03AXPS-PC03A-4B-PHSENA302,streamed,phsen_data_record,ph_seawater
RS03AXPS-PC03A-4C-FLORDD303,streamed,flort_d_data_record,seawater_scattering_coefficient
RS03AXPS-PC03A-4C-FLORDD303,streamed,flort_d_data_record,fluorometric_chlorophyll_a
RS03AXPS-PC03A-4C-FLORDD303,streamed,flort_d_data_record,fluorometric_cdom
RS03AXPS-PC03A-4C-FLORDD303,streamed,flort_d_data_record,optical_backscatter
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,density
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,practical_salinity
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,seawater_temperature
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,seawater_pressure
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,seawater_conductivity
RS03AXPS-SF03A-2A-CTDPFA302,streamed,ctdpf_sbe43_sample,corrected_dissolved_oxygen
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,density
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,practical_salinity
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,seawater_temperature
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,seawater_pressure
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,seawater_conductivity
RS03AXPS-SF03A-2A-DOFSTA302,streamed,ctdpf_sbe43_sample,corrected_dissolved_oxygen
RS03AXPS-SF03A-2D-PHSENA301,streamed,phsen_data_record,phsen_thermistor_temperature
RS03AXPS-SF03A-2D-PHSENA301,streamed,phsen_data_record,ph_seawater
RS03AXPS-SF03A-3A-FLORTD301,streamed,flort_d_data_record,seawater_scattering_coefficient
RS03AXPS-SF03A-3A-FLORTD301,streamed,flort_d_data_record,fluorometric_chlorophyll_a
RS03AXPS-SF03A-3A-FLORTD301,streamed,flort_d_data_record,fluorometric_cdom
RS03AXPS-SF03A-3A-FLORTD301,streamed,flort_d_data_record,optical_backscatter
RS03AXPS-SF03A-3B-OPTAAD301,streamed,optaa_sample,beam_attenuation
RS03AXPS-SF03A-3B-OPTAAD301,streamed,optaa_sample,optical_absorption
RS03AXPS-SF03A-3C-PARADA301,streamed,parad_sa_sample,par_counts_output
RS03AXPS-SF03A-3D-SPKIRA301,streamed,spkir_data_record,spkir_downwelling_vector
RS03AXPS-SF03A-4A-NUTNRA301,streamed,nutnr_a_dark_sample,nitrate_concentration
RS03AXPS-SF03A-4A-NUTNRA301,streamed,nutnr_a_sample,salinity_corrected_nitrate
RS03AXPS-SF03A-4A-NUTNRA301,streamed,nutnr_a_sample,nitrate_concentration
RS03AXPS-SF03A-4B-VELPTD302,streamed,velpt_velocity_data,velpt_d_eastward_velocity
RS03AXPS-SF03A-4B-VELPTD302,streamed,velpt_velocity_data,velpt_d_northward_velocity
RS03AXPS-SF03A-4B-VELPTD302,streamed,velpt_velocity_data,velpt_d_upward_velocity
RS03AXPS-SF03A-4B-VELPTD302,streamed,velpt_velocity_data,pressure_mbar
RS03AXPS-SF03A-4F-PCO2WA301,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature
RS03AXPS-SF03A-4F-PCO2WA301,streamed,pco2w_a_sami_data_record,pco2_seawater
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_sample,corrected_compass_direction
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_sample,seafloor_tilt_magnitude
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_lily_sample,seafloor_tilt_direction
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample,bottom_pressure
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s,botsflu_meanpres
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s,botsflu_meandepth
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s,botsflu_5minrate
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s,botsflu_10minrate
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_15s,botsflu_predtide
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_24hr,botsflu_daydepth
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_24hr,botsflu_4wkrate
RS03CCAL-MJ03F-05-BOTPTA301,streamed,botpt_nano_sample_24hr,botsflu_8wkrate
RS03CCAL-MJ03F-06-HYDLFA305,streamed,iris,NULL
RS03CCAL-MJ03F-06-OBSBBA301,streamed,iris,NULL
RS03ECAL-MJ03E-05-OBSSPA303,streamed,iris,NULL
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_sample,corrected_compass_direction
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_sample,seafloor_tilt_magnitude
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_lily_sample,seafloor_tilt_direction
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample,bottom_pressure
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s,botsflu_meanpres
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s,botsflu_meandepth
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s,botsflu_5minrate
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s,botsflu_10minrate
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_15s,botsflu_predtide
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_24hr,botsflu_daydepth
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_24hr,botsflu_4wkrate
RS03ECAL-MJ03E-06-BOTPTA302,streamed,botpt_nano_sample_24hr,botsflu_8wkrate
RS03ECAL-MJ03E-08-OBSSPA304,streamed,iris,NULL
RS03ECAL-MJ03E-09-HYDLFA304,streamed,iris,NULL
RS03ECAL-MJ03E-09-OBSBBA302,streamed,iris,NULL
RS03INT1-MJ03C-05-CAMDSB303,streamed,camds_video,NULL
RS03INT1-MJ03C-07-PPSDNA301,recovered_inst,ppsdn_status,NULL
RS03INT1-MJ03C-07-RASFLA301,recovered_inst,d1000_sample,temperature1
RS03INT1-MJ03C-07-RASFLA301,recovered_inst,d1000_sample,temperature2
RS03INT1-MJ03C-07-RASFLA301,recovered_inst,d1000_sample,temperature3
RS03INT1-MJ03C-07-RASFLA301,recovered_inst,rasfl_a_subcon_instrument_recovered,temp
RS03INT1-MJ03C-07-RASFLA301,recovered_inst,rasfl_status,NULL
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_temp_th
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_temp_tl
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_ph
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_ph_acl
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_ph_noref
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_ph_noref_acl
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_sulfide
RS03INT1-MJ03C-09-THSPHA301,streamed,thsph_sample,thsph_hydrogen
RS03INT1-MJ03C-10-TRHPHA301,streamed,trhph_sample,vent_fluid_temperaure
RS03INT1-MJ03C-10-TRHPHA301,streamed,trhph_sample,vent_fluid_chloride_conc
RS03INT1-MJ03C-10-TRHPHA301,streamed,trhph_sample,vent_fluid_orp
RS03INT1-MJ03C-10-TRHPHA301,streamed,trhph_sample,trhph_thermistor_temp
RS03INT2-MJ03D-05-OBSSPA305,streamed,iris,NULL
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_sample,corrected_compass_direction
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_sample,seafloor_tilt_magnitude
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_lily_sample,seafloor_tilt_direction
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample,bottom_pressure
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s,botsflu_meanpres
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s,botsflu_meandepth
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s,botsflu_5minrate
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s,botsflu_10minrate
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_15s,botsflu_predtide
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_24hr,botsflu_daydepth
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_24hr,botsflu_4wkrate
RS03INT2-MJ03D-06-BOTPTA303,streamed,botpt_nano_sample_24hr,botsflu_8wkrate
RS03INT2-MJ03D-12-VEL3DB304,streamed,vel3d_b_sample,eastward_turbulent_velocity
RS03INT2-MJ03D-12-VEL3DB304,streamed,vel3d_b_sample,northward_turbulent_velocity
RS03INT2-MJ03D-12-VEL3DB304,streamed,vel3d_b_sample,upward_turbulent_velocity
