refdes,method,stream,parameter
RS01SBPS-PC01A-06-VADCPA101,streamed,adcp_velocity_earth,upward_seawater_velocity
RS01SBPS-PC01A-06-VADCPA101,streamed,adcp_velocity_earth,error_seawater_velocity
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam1
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam2
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam3
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,corrected_echo_intensity_beam4
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,eastward_seawater_velocity
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,northward_seawater_velocity
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,estimated_upward_seawater_velocity
RS01SBPS-PC01A-06-VADCPA101,streamed,vadcp_velocity_beam,upward_seawater_velocity
RS01SBPS-PC01A-07-CAMDSC102,streamed,camds_video,NULL
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,density
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,practical_salinity
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,dissolved_oxygen
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,seawater_temperature
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,seawater_pressure
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,seawater_conductivity
RS01SBPS-PC01A-4A-CTDPFA103,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,density
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,practical_salinity
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,dissolved_oxygen
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,seawater_temperature
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,seawater_pressure
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,seawater_conductivity
RS01SBPS-PC01A-4A-DOSTAD103,streamed,ctdpf_optode_sample,ctd_tc_oxygen
RS01SBPS-PC01A-4B-PHSENA102,streamed,phsen_data_record,phsen_thermistor_temperature
RS01SBPS-PC01A-4B-PHSENA102,streamed,phsen_data_record,ph_seawater
RS01SBPS-PC01A-4C-FLORDD103,streamed,flort_d_data_record,seawater_scattering_coefficient
RS01SBPS-PC01A-4C-FLORDD103,streamed,flort_d_data_record,fluorometric_chlorophyll_a
RS01SBPS-PC01A-4C-FLORDD103,streamed,flort_d_data_record,fluorometric_cdom
RS01SBPS-PC01A-4C-FLORDD103,streamed,flort_d_data_record,optical_backscatter
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,density
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,practical_salinity
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,seawater_temperature
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,seawater_pressure
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,seawater_conductivity
RS01SBPS-SF01A-2A-CTDPFA102,streamed,ctdpf_sbe43_sample,corrected_dissolved_oxygen
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,density
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,practical_salinity
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,seawater_temperature
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,seawater_pressure
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,seawater_conductivity
RS01SBPS-SF01A-2A-DOFSTA102,streamed,ctdpf_sbe43_sample,corrected_dissolved_oxygen
RS01SBPS-SF01A-2D-PHSENA101,streamed,phsen_data_record,phsen_thermistor_temperature
RS01SBPS-SF01A-2D-PHSENA101,streamed,phsen_data_record,ph_seawater
RS01SBPS-SF01A-3A-FLORTD101,streamed,flort_d_data_record,seawater_scattering_coefficient
RS01SBPS-SF01A-3A-FLORTD101,streamed,flort_d_data_record,fluorometric_chlorophyll_a
RS01SBPS-SF01A-3A-FLORTD101,streamed,flort_d_data_record,fluorometric_cdom
RS01SBPS-SF01A-3A-FLORTD101,streamed,flort_d_data_record,optical_backscatter
RS01SBPS-SF01A-3B-OPTAAD101,streamed,optaa_sample,beam_attenuation
RS01SBPS-SF01A-3B-OPTAAD101,streamed,optaa_sample,optical_absorption
RS01SBPS-SF01A-3C-PARADA101,streamed,parad_sa_sample,par_counts_output
RS01SBPS-SF01A-3D-SPKIRA101,streamed,spkir_data_record,spkir_downwelling_vector
RS01SBPS-SF01A-4A-NUTNRA101,streamed,nutnr_a_dark_sample,nitrate_concentration
RS01SBPS-SF01A-4A-NUTNRA101,streamed,nutnr_a_sample,salinity_corrected_nitrate
RS01SBPS-SF01A-4A-NUTNRA101,streamed,nutnr_a_sample,nitrate_concentration
RS01SBPS-SF01A-4B-VELPTD102,streamed,velpt_velocity_data,velpt_d_eastward_velocity
RS01SBPS-SF01A-4B-VELPTD102,streamed,velpt_velocity_data,velpt_d_northward_velocity
RS01SBPS-SF01A-4B-VELPTD102,streamed,velpt_velocity_data,velpt_d_upward_velocity
RS01SBPS-SF01A-4B-VELPTD102,streamed,velpt_velocity_data,pressure_mbar
RS01SBPS-SF01A-4F-PCO2WA101,streamed,pco2w_a_sami_data_record,pco2w_thermistor_temperature
RS01SBPS-SF01A-4F-PCO2WA101,streamed,pco2w_a_sami_data_record,pco2_seawater
RS01SLBS-LJ01A-05-HPIESA101,streamed,echo_sounding,hpies_pressure_L1
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam1
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam2
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam3
RS01SLBS-LJ01A-10-ADCPTE101,streamed,adcp_velocity_beam,corrected_echo_intensity_beam4
