"reference_designator","method","name","id","name","unit"
"CE01ISSM-MFD35-06-PHSEND000","recovered_host","phsen_abcdef_dcl_instrument_recovered","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-MFD35-06-PHSEND000","recovered_inst","phsen_abcdef_instrument","938","phsen_thermistor_temperature","V"
"CE01ISSM-MFD35-06-PHSEND000","recovered_inst","phsen_abcdef_instrument","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-MFD35-06-PHSEND000","telemetered","phsen_abcdef_dcl_instrument","938","phsen_thermistor_temperature","V"
"CE01ISSM-MFD35-06-PHSEND000","telemetered","phsen_abcdef_dcl_instrument","2767","phsen_abcdef_ph_seawater","1"
"CE01ISSM-MFD37-01-OPTAAD000","recovered_host","optaa_dj_dcl_instrument_recovered","19","beam_attenuation","m-1"
"CE01ISSM-MFD37-01-OPTAAD000","recovered_host","optaa_dj_dcl_instrument_recovered","20","optical_absorption","m-1"
"CE01ISSM-MFD37-01-OPTAAD000","telemetered","optaa_dj_dcl_instrument","19","beam_attenuation","m-1"
"CE01ISSM-MFD37-01-OPTAAD000","telemetered","optaa_dj_dcl_instrument","20","optical_absorption","m-1"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","1","conductivity","S m-1"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","2","pressure","dbar"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","5","density","kg m-3"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","6","temp","deg_C"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","5","density","kg m-3"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2819","ctdbp_seawater_temperature","deg_C"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2820","ctdbp_seawater_pressure","dbar"
"CE01ISSM-MFD37-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2821","ctdbp_seawater_conductivity","S m-1"
"CE01ISSM-MFD37-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","1","conductivity","S m-1"
"CE01ISSM-MFD37-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","2","pressure","dbar"
"CE01ISSM-MFD37-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","5","density","kg m-3"
"CE01ISSM-MFD37-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","6","temp","deg_C"
"CE01ISSM-MFD37-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","13","practical_salinity","1"
"CE01ISSM-MFD37-03-DOSTAD000","recovered_host","dosta_abcdjm_ctdbp_dcl_instrument_recovered","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-MFD37-03-DOSTAD000","recovered_host","dosta_abcdjm_ctdbp_dcl_instrument_recovered","2022","dosta_ln_optode_oxygen","uM"
"CE01ISSM-MFD37-03-DOSTAD000","recovered_inst","dosta_abcdjm_ctdbp_instrument_recovered","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-MFD37-03-DOSTAD000","recovered_inst","dosta_abcdjm_ctdbp_instrument_recovered","964","ctd_tc_oxygen","umol L-1"
"CE01ISSM-MFD37-03-DOSTAD000","telemetered","dosta_abcdjm_ctdbp_dcl_instrument","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-MFD37-03-DOSTAD000","telemetered","dosta_abcdjm_ctdbp_dcl_instrument","2022","dosta_ln_optode_oxygen","uM"
"CE01ISSM-RID16-01-OPTAAD000","recovered_host","optaa_dj_dcl_instrument_recovered","19","beam_attenuation","m-1"
"CE01ISSM-RID16-01-OPTAAD000","recovered_host","optaa_dj_dcl_instrument_recovered","20","optical_absorption","m-1"
"CE01ISSM-RID16-01-OPTAAD000","telemetered","optaa_dj_dcl_instrument","19","beam_attenuation","m-1"
"CE01ISSM-RID16-01-OPTAAD000","telemetered","optaa_dj_dcl_instrument","20","optical_absorption","m-1"
"CE01ISSM-RID16-02-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","21","seawater_scattering_coefficient","m-1"
"CE01ISSM-RID16-02-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","22","fluorometric_chlorophyll_a","µg L-1"
"CE01ISSM-RID16-02-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","23","fluorometric_cdom","ppb"
"CE01ISSM-RID16-02-FLORTD000","recovered_host","flort_dj_dcl_instrument_recovered","25","optical_backscatter","m-1"
"CE01ISSM-RID16-02-FLORTD000","telemetered","flort_dj_dcl_instrument","21","seawater_scattering_coefficient","m-1"
"CE01ISSM-RID16-02-FLORTD000","telemetered","flort_dj_dcl_instrument","22","fluorometric_chlorophyll_a","µg L-1"
"CE01ISSM-RID16-02-FLORTD000","telemetered","flort_dj_dcl_instrument","23","fluorometric_cdom","ppb"
"CE01ISSM-RID16-02-FLORTD000","telemetered","flort_dj_dcl_instrument","25","optical_backscatter","m-1"
"CE01ISSM-RID16-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","1","conductivity","S m-1"
"CE01ISSM-RID16-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","2","pressure","dbar"
"CE01ISSM-RID16-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","5","density","kg m-3"
"CE01ISSM-RID16-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","6","temp","deg_C"
"CE01ISSM-RID16-03-CTDBPC000","recovered_host","ctdbp_cdef_dcl_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-RID16-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","5","density","kg m-3"
"CE01ISSM-RID16-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","13","practical_salinity","1"
"CE01ISSM-RID16-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2819","ctdbp_seawater_temperature","deg_C"
"CE01ISSM-RID16-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2820","ctdbp_seawater_pressure","dbar"
"CE01ISSM-RID16-03-CTDBPC000","recovered_inst","ctdbp_cdef_instrument_recovered","2821","ctdbp_seawater_conductivity","S m-1"
"CE01ISSM-RID16-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","1","conductivity","S m-1"
"CE01ISSM-RID16-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","2","pressure","dbar"
"CE01ISSM-RID16-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","5","density","kg m-3"
"CE01ISSM-RID16-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","6","temp","deg_C"
"CE01ISSM-RID16-03-CTDBPC000","telemetered","ctdbp_cdef_dcl_instrument","13","practical_salinity","1"
"CE01ISSM-RID16-03-DOSTAD000","recovered_host","dosta_abcdjm_ctdbp_dcl_instrument_recovered","14","dissolved_oxygen","µmol kg-1"
"CE01ISSM-RID16-03-DOSTAD000","recovered_host","dosta_abcdjm_ctdbp_dcl_instrument_recovered","2022","dosta_ln_optode_oxygen","uM"
