array,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GA,,,,,,,,,,,,,,,,,,,,,0.2362282878411913,0.4843589743589743,0.46302729528535974,0.4271794871794869,0.2523573200992556,0.19528535980148887,0.19487179487179487,0.12481389578163772,0.3089743589743589,0.3473945409429281,0.3198511166253102,0.29230769230769243,0.3064516129032258,0.29794871794871797,0.2637717121588089,0.24615384615384617,0.22183622828784108,0.21240694789081885,0.1933333333333333,0.1997518610421835,0.3515384615384615,0.35483870967741926,0.34615384615384615,0.3434065934065934,0.3421836228287841,0.3246153846153846,0.2709677419354839,0.2333333333333333,0.18039702233250618,0.18411910669975187,0.15333333333333332,,
GI,,,,,,,,,,,,,,,0.19756690997566898,0.2479397221568166,0.2457420924574209,0.23216388038615496,0.21591711796562277,0.1462460896767466,0.1386861313868613,0.12262773722627734,0.11678832116788321,0.13552311435523115,0.12173298799152345,0.3833294089945841,0.6588807785888078,0.6505768777960913,0.38637469586374723,0.3390628679067576,0.35224864610313167,0.3121067203624465,0.13797975041205554,0.20243309002433085,0.218978102189781,0.22311435523114356,0.5302566517541791,0.6388038615493289,0.5888077858880779,0.5399105250765247,0.3914841849148419,0.3442429950553332,0.1843654344242995,0.11678832116788321,0.1172592418177537,0.14233576642335766,0.11678832116788321,0.11678832116788321,0.11678832116788321,0.47115611019543197,0.463260340632603,,
GP,0.07233626588465294,0.24209840338872599,0.24545454545454543,0.24503095470837405,0.22626262626262628,0.2137504072987944,0.2088628217660476,0.19227994227994227,0.011078527207559466,0.012121212121212121,0.04594330400782014,0.09494949494949494,0.23232323232323232,0.23362658846529819,0.23468013468013474,0.19941348973607037,0.10067340067340068,0.020202020202020204,0.020202020202020204,0.020202020202020204,0.011730205278592375,0.00404040404040404,0.011078527207559466,0.2744107744107742,0.32877158683610297,0.3274682306940372,0.3259259259259259,0.3255131964809384,0.2966329966329967,0.24503095470837405,0.19387422613229066,0.14942528735632182,0.05865102639296186,0.00404040404040404,,0.00404040404040404,0.06875203649397198,0.07135874877810362,0.02222222222222222,0.06028022157054414,0.10606060606060604,0.08145975887911373,0.012707722385141739,,,,,,,,,,
GS,,,,,,,,,,,,,,,,,,,,0.13238916256157643,0.5339265850945496,0.5353448275862069,0.43020022246941064,0.07155172413793102,0.10317018909899887,0.18909899888765294,0.05660919540229885,0.05895439377085651,0.09482758620689655,0.4574527252502785,0.6593437152391542,0.4200356718192625,0.3665183537263626,0.3637931034482758,0.3184093437152392,0.2732758620689655,0.28781979977753064,0.2822580645161291,0.2336206896551725,0.2652947719688543,0.18304597701149417,0.26001112347052274,0.29310344827586204,0.270935960591133,0.2672413793103448,0.2545977011494252,0.23776418242491656,0.20804597701149424,0.18464961067853172,0.16629588431590658,0.1459770114942529,,
