node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GA01SUMO-RID16,,,,,,,,,,,,,,,,,,,,,0.4032258064516129,0.7375,0.7217741935483871,0.7458333333333333,0.7258064516129032,0.6169354838709677,0.625,0.6290322580645161,0.7125,0.8548387096774194,0.8508064516129032,0.857758620689655,0.8629032258064516,0.8583333333333334,0.8508064516129032,0.8583333333333334,0.7862903225806452,0.8387096774193549,0.825,0.7983870967741936,0.8500000000000001,0.8467741935483871,0.7258064516129034,0.7098214285714285,0.685483870967742,0.575,0.5846774193548387,0.5083333333333333,0.3629032258064516,0.38306451612903225,0.375,,
GA01SUMO-RII11,,,,,,,,,,,,,,,,,,,,,0.3022700119474314,0.5296296296296297,0.5292712066905616,0.4901234567901234,0.4862604540023895,0.48148148148148145,0.48148148148148145,0.14097968936678618,0.6629629629629629,0.5806451612903224,0.6678614097968935,0.6615581098339719,0.7168458781362006,0.6765432098765432,0.5292712066905616,0.40493827160493834,0.37873357228195925,0.41816009557945044,0.41728395061728396,0.48745519713261676,0.8222222222222221,0.8100358422939067,0.8100358422939067,0.798941798941799,0.7980884109916367,0.7962962962962963,0.6069295101553167,0.517283950617284,0.4193548387096775,0.4193548387096775,0.32716049382716045,,
GA01SUMO-SBD11,,,,,,,,,,,,,,,,,,,,,0.18548387096774194,0.26666666666666666,0.25,0.10833333333333334,0.024193548387096774,0.03225806451612903,,,0.375,0.685483870967742,0.5080645161290323,0.603448275862069,0.685483870967742,0.6833333333333333,0.6532258064516129,0.6833333333333333,0.6209677419354839,0.685483870967742,0.6833333333333333,0.6532258064516129,0.6916666666666667,0.685483870967742,0.6693548387096775,0.6785714285714286,0.6774193548387097,0.65,0.6693548387096774,0.6666666666666667,0.6532258064516129,0.6774193548387097,0.4833333333333333,,
GA01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,,0.1935483870967742,0.2866666666666667,0.23225806451612904,0.2,0.2,0.2645161290322581,0.26666666666666666,0.2774193548387097,0.5933333333333334,0.7741935483870968,0.767741935483871,0.7724137931034483,0.7741935483870968,0.7733333333333333,0.767741935483871,0.7733333333333333,0.7225806451612903,0.7741935483870968,0.7066666666666667,0.7354838709677419,0.74,0.7483870967741936,0.735483870967742,0.7428571428571429,0.7483870967741936,0.7266666666666668,0.7354838709677419,0.7333333333333334,0.7225806451612903,0.767741935483871,0.7733333333333333,,
GA02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,
GA02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,0.008064516129032258,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,0.016129032258064516,0.26666666666666666,,,,,,,,,,,,,,,,,,0.008064516129032258,0.008333333333333333,,,,,,,,,,,,
GA03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,,0.4665012406947892,0.9974358974358974,1.0,0.9051282051282054,0.15632754342431765,,,,0.06923076923076922,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,,0.4731182795698925,1.0,1.0,0.8444444444444444,0.16129032258064516,,,,0.0888888888888889,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,,0.3548387096774194,1.0,1.0,0.9025641025641028,0.32009925558312663,,,,0.26666666666666666,0.22828784119106693,,,,,,,,,,,,,,,,,,,,,,,
