node,2013-07,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CE01ISSM-MFD35,,0.26,0.2,,,,,0.058064516129032254,,,,,,,,0.6066666666666667,0.6516129032258065,0.5290322580645161,,,,,,,,,,,,,0.02,0.4258064516129032,,,,,,0.26,0.2,,,,,,
CE01ISSM-MFD37,,0.12222222222222222,,,,,,0.09677419354838708,,,,,,,,0.888888888888889,0.956989247311828,0.7311827956989246,,,,,,,,,,,,,0.022222222222222223,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.11904761904761905,,0.37777777777777777,0.956989247311828,0.9555555555555556,0.946236559139785,0.956989247311828,0.9555555555555556,,
CE01ISSM-RID16,,0.23703703703703705,0.45161290322580644,0.4444444444444444,0.4444444444444444,0.22939068100358423,,0.6415770609318998,0.9000000000000001,0.9068100358422938,0.9068100358422938,0.9047619047619047,0.899641577060932,0.3333333333333333,,0.814814814814815,0.7956989247311828,0.6379928315412187,,0.7240143369175628,0.9333333333333333,0.935483870967742,0.9318996415770608,,,,0.35842293906810035,0.711111111111111,0.6702508960573477,0.1003584229390681,0.02222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.023809523809523805,,0.2740740740740741,0.6523297491039427,0.5851851851851851,0.5376344086021505,0.43010752688172044,0.42962962962962964,,
CE01ISSM-SBD17,,,,,,,,0.23655913978494625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.12222222222222222,,0.3111111111111111,0.3333333333333333,0.26881720430107525,,0.25806451612903225,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.15053763440860216,0.3333333333333333,0.3333333333333333,0.08602150537634408,0.011111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.011904761904761904,,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,
CE01ISSP-SP001,,0.19999999999999998,0.024193548387096774,,,,,,,,,,,,,,,0.020161290322580645,,,,,,,,,,0.09999999999999999,,0.12096774193548386,,,,,,,,0.15,0.75,0.6,0.2903225806451613,0.7016129032258064,,,
CE02SHBP-LJ01D,,,,,,,0.13809523809523808,0.7142857142857143,0.6952380952380953,0.5391705069124424,0.6774193548387097,0.6683673469387755,0.6912442396313364,0.6952380952380953,0.7142857142857143,0.6952380952380953,0.6175115207373272,0.5529953917050692,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4976958525345622,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.29493087557603687,0.2857142857142857,0.31336405529953915,0.7142857142857143,0.7142857142857143,0.6774193548387097,0.5714285714285714,0.5714285714285714,0.5529953917050692,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.49308755760368667,0.5809523809523809,,
CE02SHSM-RID26,,,,,,,,,,,,,,0.9133333333333333,0.967741935483871,0.9733333333333334,0.9741935483870968,0.967741935483871,0.6199999999999999,0.7870967741935484,0.9666666666666666,0.9741935483870968,0.967741935483871,0.9724137931034482,0.9741935483870968,0.9733333333333334,0.8709677419354838,0.7733333333333333,0.767741935483871,0.7741935483870968,0.7733333333333333,0.6064516129032258,0.5733333333333334,0.5741935483870968,0.5548387096774194,0.5714285714285714,0.5741935483870968,0.6333333333333334,0.7741935483870968,0.7733333333333333,0.767741935483871,0.7806451612903226,0.7733333333333333,,
CE02SHSM-RID27,,,,,,,,,,,,,,0.8666666666666667,0.8790322580645162,0.9,0.903225806451613,0.8790322580645162,0.65,0.7338709677419355,0.8750000000000001,0.903225806451613,0.8790322580645162,0.896551724137931,0.903225806451613,0.9,0.8790322580645162,0.9,0.7741935483870968,0.685483870967742,0.725,0.8790322580645162,0.9,0.903225806451613,0.8790322580645162,0.8928571428571429,0.903225806451613,0.8583333333333334,0.7096774193548387,0.6833333333333333,0.6693548387096775,0.6290322580645161,0.6833333333333333,,
CE02SHSM-SBD11,,,,,,,,,,,,,,0.48333333333333334,0.5,0.5,0.5,0.4032258064516129,,0.4032258064516129,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
CE02SHSM-SBD12,,,,,,,,,,,,,,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4888888888888889,0.5268817204301075,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8279569892473119,1.0,1.0,1.0,1.0,0.989247311827957,1.0,1.0,0.6236559139784946,0.30952380952380953,0.3333333333333333,0.5777777777777778,0.7096774193548386,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
CE02SHSP-SP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C,0.06912442396313365,,,,,0.12903225806451613,0.17142857142857143,0.46082949308755755,0.4333333333333334,0.152073732718894,0.42857142857142855,0.40816326530612246,0.29493087557603687,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3963133640552995,0.42857142857142855,0.5299539170506913,0.42857142857142855,0.38248847926267276,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.31336405529953915,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.45622119815668205,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5023041474654378,0.5,,
CE04OSPD-DP01B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B,,,,,,,,0.1935483870967742,0.05,,0.18548387096774194,0.21428571428571427,0.24193548387096775,0.25,0.25,0.25,0.12096774193548387,0.23387096774193547,0.25,0.43548387096774194,0.5,0.47580645161290325,0.47580645161290325,0.5,0.5,0.43333333333333335,0.5,0.5,0.3467741935483871,0.25,0.25,0.25,0.25,0.25,0.24193548387096775,0.25,0.25,0.25,0.25,0.25,0.21774193548387097,0.46774193548387094,0.26666666666666666,,
CE04OSPS-SF01B,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6580645161290323,0.7,0.7032258064516129,0.67,0.6,0.6,0.6,0.6,0.49333333333333335,0.6,0.6,0.5741935483870968,0.8419354838709676,0.8800000000000001,0.8387096774193548,0.74,0.8516129032258064,0.7064516129032259,0.7928571428571429,0.7967741935483871,0.8,0.8,0.8,0.6967741935483871,0.6903225806451613,0.42666666666666664,,
CE04OSSM-RID26,,,,,,,,,,,,,,0.78,0.967741935483871,0.9733333333333334,0.9741935483870968,0.967741935483871,0.9733333333333334,0.8838709677419354,0.7666666666666667,0.7741935483870968,0.767741935483871,0.7724137931034483,0.7741935483870968,0.7733333333333333,0.6193548387096774,0.7733333333333333,0.767741935483871,0.7741935483870968,0.7733333333333333,0.767741935483871,0.7733333333333333,0.7870967741935484,0.7483870967741935,0.8,0.4903225806451613,0.2533333333333333,0.7741935483870968,0.7733333333333333,0.767741935483871,0.7225806451612904,0.5733333333333334,,
CE04OSSM-RID27,,,,,,,,,,,,,,0.7250000000000001,0.8790322580645162,0.9,0.903225806451613,0.8790322580645162,0.9,0.903225806451613,0.8750000000000001,0.903225806451613,0.8145161290322581,0.646551724137931,0.6693548387096774,0.6583333333333334,0.6370967741935484,0.9,0.8790322580645162,0.903225806451613,0.9,0.8790322580645162,0.9,0.935483870967742,0.8951612903225806,0.9642857142857143,0.5887096774193548,0.2833333333333333,0.903225806451613,0.9,0.8790322580645162,0.9193548387096775,0.9,,
CE04OSSM-SBD11,,,,,,,,,,,,,,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4838709677419355,0.034482758620689655,,,0.25806451612903225,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.46774193548387094,0.5,0.3064516129032258,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,,
CE04OSSM-SBD12,,,,,,,,,,,,,,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6129032258064516,0.5,0.5,0.5,0.5,0.6612903225806451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9354838709677419,1.0,0.6129032258064516,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,
CE05MOAS-GL247,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567741935483871,0.5333333333333333,,,0.1,1.0,1.0,0.9290322580645161,0.12903225806451613,,,,,,,,,,
CE05MOAS-GL311,,,,,,,,0.7548387096774194,0.8066666666666666,0.12903225806451613,,,,,,,,,,,,,0.3161290322580645,0.993103448275862,0.3806451612903226,,,,,,,0.6774193548387096,1.0,0.767741935483871,,,,,,,0.18064516129032257,0.8,0.8,,
CE05MOAS-GL312,,0.3333333333333333,1.0,0.86,0.36129032258064514,,,,,,,,,,,0.9333333333333333,,,,,,,0.25806451612903225,0.8,0.36129032258064514,,,,,,0.29333333333333333,0.7806451612903226,0.8,0.36129032258064514,,,,,,,,,,,
CE05MOAS-GL319,,0.36666666666666664,0.703225806451613,,,,,,,,,,,,,,,,,0.7225806451612904,0.5333333333333333,,,,,,,0.18666666666666668,,,,,,,,,,0.5399999999999999,0.4258064516129032,,,,,,
CE05MOAS-GL320,,,,,,,,0.8064516129032258,0.9466666666666667,0.5935483870967742,,,,,,,,,,,,,,,,,,0.4,0.8,0.567741935483871,,,,,,,,0.5466666666666666,0.4774193548387097,,,,,,
CE05MOAS-GL326,,,,,,,,,,,,,,0.6333333333333334,0.8193548387096774,0.8,0.2064516129032258,,,0.4387096774193548,0.24,,,0.3586206896551724,0.8,0.26666666666666666,,,,,,,,,0.6709677419354839,0.8,0.7806451612903226,0.16666666666666666,,,,,,,
CE05MOAS-GL327,,,,,,,,,,,,,,,,0.9,0.9483870967741936,0.5225806451612903,,0.5483870967741935,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,
CE05MOAS-GL381,,,,,,,,0.6838709677419355,0.8,0.7483870967741935,,,,,,,,,,,,,,,,,0.6709677419354839,0.5333333333333333,,,,,,,,0.45714285714285713,0.7741935483870968,,,,,,,,
CE05MOAS-GL382,,,,,,,,,,,0.32258064516129037,0.8,0.8,0.7466666666666667,,,,,,,,,,,,,,,,,0.08,0.8,0.8,0.8,0.12903225806451613,,,0.5399999999999999,0.7612903225806452,0.6666666666666666,,,,,
CE05MOAS-GL383,,,,,,,,,,,0.3548387096774194,0.9071428571428571,0.2645161290322581,,,,,0.4903225806451613,0.8,0.8,0.64,,,,,,,,,,,,,,0.025806451612903226,0.8,0.8,0.76,0.23870967741935484,,0.33548387096774196,0.8,0.8,,
CE05MOAS-GL384,,,,,,,,,,,,,,0.54,0.8387096774193548,0.8,0.18064516129032257,0.2838709677419355,0.8,0.8,0.22000000000000003,,,,,,0.6193548387096774,0.8,0.4645161290322581,,,,,,,,,,,,,,,,
CE05MOAS-GL386,,0.36666666666666664,1.0,0.82,0.12903225806451613,,,,,,,,,0.9,0.9290322580645161,0.74,0.05161290322580645,,,0.4387096774193548,0.5066666666666666,,,,,,,,,,,,,,,,,,,,,,,,
CE06ISSM-MFD35,,,,,,,,0.3032258064516129,0.29333333333333333,,,,,0.31999999999999995,0.4580645161290322,0.4533333333333333,0.4580645161290322,0.4387096774193548,0.4066666666666666,0.13548387096774195,,,,,,,0.15483870967741936,,,,0.06,0.4516129032258064,0.45999999999999996,0.4516129032258064,0.4580645161290322,0.45714285714285713,0.4516129032258064,0.3466666666666667,0.14193548387096774,,,,,,
CE06ISSM-MFD37,,,,,,,,0.7419354838709676,0.7333333333333333,,,,,0.4666666666666666,0.6774193548387096,0.6666666666666666,0.6021505376344086,0.3440860215053763,0.022222222222222223,,,,,,,,0.39784946236559143,,,,0.08888888888888889,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6021505376344086,0.5666666666666668,0.956989247311828,0.9555555555555556,0.946236559139785,0.956989247311828,0.9555555555555556,,
CE06ISSM-RID16,,,,,,,,0.5913978494623656,0.7185185185185186,0.7204301075268816,0.7168458781362007,0.6825396825396826,0.7670250896057348,0.7925925925925925,0.7562724014336918,0.7925925925925926,0.7813620071684588,0.7813620071684588,0.7333333333333333,0.7347670250896058,0.7222222222222222,0.5555555555555556,0.5555555555555556,0.41762452107279696,,,0.6953405017921147,0.7777777777777778,0.5197132616487455,,0.1074074074074074,0.7921146953405018,0.7962962962962963,0.7885304659498208,0.5698924731182796,,,0.4740740740740741,0.7634408602150538,0.7629629629629631,0.7598566308243728,0.7634408602150538,0.3851851851851852,,
CE06ISSM-SBD17,,,,,,,,0.25806451612903225,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.04301075268817204,0.2333333333333333,0.3010752688172043,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2795698924731183,,,,,,,0.2795698924731183,0.3333333333333333,0.2903225806451613,,0.044444444444444446,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13978494623655915,,,0.15555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2333333333333333,,
CE06ISSP-SP001,,,,,,,,,,,,,,,0.03225806451612903,,0.12096774193548386,0.07258064516129033,,,,,,,,,0.12903225806451613,,0.12096774193548386,0.41129032258064513,,,,,,,,,,,0.14516129032258066,0.26612903225806456,,,
CE07SHSM-MFD35,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4774193548387097,0.5466666666666666,0.5483870967741936,0.2129032258064516,0.16666666666666666,0.1870967741935484,,,,,,0.41999999999999993,0.5677419354838709,0.13999999999999999,,,,,
CE07SHSM-MFD37,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8172043010752689,0.9555555555555556,0.946236559139785,0.3655913978494623,0.24444444444444444,0.6666666666666666,0.6666666666666666,0.5161290322580645,,,,0.6,0.8924731182795699,0.27777777777777773,,,,,
CE07SHSM-RID26,,,,,,,,,,,,,,0.47333333333333333,0.767741935483871,0.8600000000000001,0.7419354838709677,0.567741935483871,0.4333333333333334,0.4774193548387097,0.7666666666666667,0.5032258064516129,0.767741935483871,0.7724137931034483,0.7741935483870968,0.7733333333333333,0.696774193548387,0.5266666666666666,0.367741935483871,0.3741935483870968,0.5133333333333334,0.767741935483871,0.7733333333333333,0.632258064516129,,,,0.48666666666666664,0.6451612903225807,0.5733333333333334,0.2645161290322581,0.1935483870967742,0.22666666666666666,,
CE07SHSM-RID27,,,,,,,,,,,,,,0.4833333333333334,0.8790322580645162,0.9,0.903225806451613,0.8790322580645162,0.6666666666666666,0.564516129032258,0.8750000000000001,0.903225806451613,0.8790322580645162,0.896551724137931,0.8145161290322581,0.6833333333333333,0.8306451612903225,0.9,0.8790322580645162,0.903225806451613,0.8666666666666667,0.8790322580645162,0.9,0.6935483870967741,,,,0.5583333333333333,0.8870967741935484,0.7,0.31451612903225806,0.25,0.33333333333333337,,
CE07SHSM-SBD11,,,,,,,,,,,,,,0.26666666666666666,0.5,0.5,0.5,0.5,0.38333333333333336,0.3064516129032258,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4032258064516129,,,,0.31666666666666665,0.5,0.5,0.2903225806451613,0.1774193548387097,0.26666666666666666,,
