node,2013-11,2013-12,2014-01,2014-02,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
CP05MOAS-A6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP05MOAS-A6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP05MOAS-GL335,,,,,,,,,,,78%,79%,34%,,,,,,,,,,46%,27%,,,,,,,26%,,,,,,,,,,,,
CP05MOAS-GL336,,,,,,,,,,,,,,68%,37%,,,,,,,,,,,,,,,,,,13%,,,,,41%,80%,80%,47%,,
CP05MOAS-GL339,,,,,,,,,,,,,,59%,80%,80%,75%,,,,,,,,,31%,80%,80%,43%,,,,,,,,,39%,79%,80%,47%,,
CP05MOAS-GL340,,,,,,,,,,,83%,83%,26%,,,,,65%,75%,,,,,,,3%,,,,,,,,,,,,,,,,,
CP05MOAS-GL374,,,,,50%,85%,80%,25%,,,,,,,,,,59%,80%,57%,,,,,,,,,,8%,80%,80%,21%,,,,,,,,,,
CP05MOAS-GL375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP05MOAS-GL376,,,,,,,,,,,84%,100%,32%,,,,,,,,,,49%,80%,,1%,,,,13%,80%,80%,21%,,,,,,,,,,
CP05MOAS-GL379,,,,,53%,87%,80%,15%,,,,,,,,,,59%,67%,,,,,,,28%,80%,80%,80%,46%,,,,,,,,,,,,,
CP05MOAS-GL380,,,,,,,,,,,65%,80%,80%,10%,,,,,,23%,80%,80%,36%,,,,,,,,,,,,,,,,,,,,
CP05MOAS-GL387,,,,,50%,3%,,,,,,,,54%,74%,,,,,,,,46%,67%,,,,,29%,80%,80%,34%,,,,,,,,,31%,76%,76%
CP05MOAS-GL388,,,,,,,,,,,84%,91%,31%,,,,,,,,,,26%,80%,80%,34%,,,,,,,59%,72%,,,,41%,80%,80%,47%,,
CP05MOAS-GL389,,,,,,,,,,,,,,68%,98%,80%,80%,5%,,,,,49%,80%,79%,34%,,,,,,,,,,,,,,,31%,76%,74%
CP05MOAS-PG564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP05MOAS-PG583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
